Award #,Project Title,Obligated Amount,Total Expected Amount,Direct Costs,expected direct,expected indirect,Indirect Costs,Total Project Cost
23-0490-A0001,Engineering optimized N-glycosylation in the silkworm silkgland protein expression system,300132,,,,,,
23-1413-A0001-0,Small Business Development Center CY23,161000,,,,,,
23-1413-A0001-1,Small Business Development Center CY23,777777,777777,648147.5,648147.5,129629.5,129629.5,1555554
24-0249-A0001,Sampling wastewater influent as a surveillance tool for the presence of SARS-CoV-2 in Wyoming communities,800000,,,,,,
23-1418-A0001,Extension of Community Health Outcomes (ECHO) Network for health care providers of Bright Futures Guidelines (Continuation),35000,,,,,,
23-0800-A0001,Neutrophil Extracellular Traps in the Lung and Development of Rheumatoid Arthritis Related Autoimmunity and Arthritis,102251,,,,,,
23-1374-A0001,Long-term evaluation of forage genotypes in Wyoming,4000,,,,,,
23-1489-A0001,Historical Elk Migrations of Eastern Greater Yellowstone,10000,,,,,,
23-1156-A0001-0,Healthy Policy Toolkit intervention support in Early Child Education Centers,17660,,,,,,
23-1156-A0001-1,Healthy Policy Toolkit intervention support in Early Child Education Centers,27620,27620,25110,25110,2510,2510,27620
23-1156-A0001-2,Healthy Policy Toolkit intervention support in Early Child Education Centers,37580,37580,34164.5,34164.5,3415.5,3415.5,37580
23-0507-A0001,Rocky Mountain Network of Oral Health Integration quality improvement project,81500,,,,,,
23-0992-A0001-0,Williams Southwest Wyoming Hydrogen Hub,250864,,,,,,
23-0992-A0001-1,Williams Southwest Wyoming Hydrogen Hub,260864,260864,260864,260864,0,0,260864
23-0992-A0001-2,Williams Southwest Wyoming Hydrogen Hub,260864,260864,260864,260864,0,0,260864
23-0529-A0001,Environmental pathways of chronic wasting disease transmission,91352,,,,,,
23-1293-A0001,2022 STARTALK Grant Program - University of Wyoming,353036.13,,,,,,
24-0150-A0001,NPS-FY23-IMR-SWBRPP Standalone CAs,18857,18857,16836,16836,2021,2021,18857
25-0158-A0001,"Seasonal movement and distribution of the Northern Giant Hummingbird (Patagona sp.), the world’s largest hummingbird and a new species",6000,6000,6000,6000,0,0,6000
24-0318-A0001-0,A Machine Learning Screening Tool for Rare Earth Elements and Critical Minerals at the Mine Scale,179905,179905,125502,125502,55403,55403,179905
24-0318-A0001-1,A Machine Learning Screening Tool for Rare Earth Elements and Critical Minerals at the Mine Scale,179905,179905,125502,125502,55403,55403,179905
23-0519-A0001,CHS: Small: Guiding future design of affect-aware cyber-human systems through the investigation of human reactions to machine errors,96632,,,,,,
24-0645-A0002,Bee visitation at Capitol Reef,59136.14,59136.14,50328.63,50328.63,8807.51,8807.51,59808.5
23-0948-A0001-0,Cooperative Research Units Program FY 2021 - Full life cycle effects of energy development on sagebrush songbirds (WLCI).,143160,,,,,,
23-0948-A0001-1,Cooperative Research Units Program FY 2021 - Full life cycle effects of energy development on sagebrush songbirds (WLCI).,213592,213592,195384.35,195384.35,18207.65,18207.65,213592
23-0948-A0001-2,Cooperative Research Units Program FY 2021 - Full life cycle effects of energy development on sagebrush songbirds (WLCI).,280228,280228,255448.33,255448.33,24779.67,24779.67,280228
23-1752-A0001,Collaborative Research: IRES Track I: Post-hurricane recovery of island freshwater lenses: Understanding the impact of social and hydrological dynamics,95661,95661,81219,81219,14442,14442,95661
23-0803-A0001,Heart Mountain Ranch Trail Re-Build,11500,,,,,,
23-0903-A0001,DMREF: GOALI: Salt Separation Membranes Based on Modifiable Two-Dimensional Covalent Organic Frameworks,1769806,,,,,,
23-0704-A0001,"Early and Periodic, Screening, Diagnostic, and Treatment (EPSDT)",0,,,,,,
24-0131-A0002,Ecology of Colorado Bobcats,39678.2,39678.2,39678.2,39678.2,0,0,39678.2
24-0027-A0001-0,"""4-D architecture of crust formation in the root zone of an oceanic detachment system: new insights from IODP Hole U1601C, Atlantis Massif (mid-Atlantic Ridge)""",15404,15404,10660,10660,4744,4744,15404
24-0027-A0001-1,"""4-D architecture of crust formation in the root zone of an oceanic detachment system: new insights from IODP Hole U1601C, Atlantis Massif (mid-Atlantic Ridge)""",34162,15404,23641.52,23641.52,10520.48,10520.48,34162
24-0027-A0001-2,"""4-D architecture of crust formation in the root zone of an oceanic detachment system: new insights from IODP Hole U1601C, Atlantis Massif (mid-Atlantic Ridge)""",15404,15404,10660,10660,4744,4744,15404
24-0027-A0001-3,"""4-D architecture of crust formation in the root zone of an oceanic detachment system: new insights from IODP Hole U1601C, Atlantis Massif (mid-Atlantic Ridge)""",15404,15404,10660,10660,4744,4744,15404
23-0226-A0001,FY19 5339 Capital Request: Purchase Four (4) Large ADA Buses,608419,,,,,,
23-1223-A0003-0,2022 WYCC Vegetation Management Crew at Grand Teton National Park,50630,50630,37784,37784,12846,12846,50630
23-1223-A0003-1,2022 WYCC Vegetation Management Crew at Grand Teton National Park,50630,50630,37784,37784,12846,12846,50630
25-0174-A0001,Fixed-Dose Combination Pill of Metformin-Vitamin B12 to Mitigate Vitamin B12 Deficiency in Metformin Users,21675,21675,15000,15000,6675,6675,21675
23-0387-A0001,Yoho National Park Trans-Canada Highway Elk Project,53925.2,,,,,,
24-0366-A0001,Genetics of river otters in Humboldt Bay,22500,54582,22500,54582,0,0,54582
24-1085-A0001,Title IIID Funding to Support Evidence-Based Program Delivery,45000,45000,45000,45000,0,0,54000
24-0089-A0001,CH4 conversion,90000,180000,65634,,,24366,180002
24-0307-A0001,The New West: The University of Wyoming Art Museum at Fifty,43000,,,,,,
23-0479-A0001,ASCEND: Accelerating Solutions for Commercialization and Entrepreneurial Development in the Mountain West IDeA States,64998.53,,,,,,
24-0789-A0001,Colorado Elk,15000,15000,15000,15000,0,0,30000
23-0669-A0001-0,Adaptive Management of the NPL Gas Field for Sage-grouse,147000,,,,,,
23-0669-A0001-1,Adaptive Management of the NPL Gas Field for Sage-grouse,147000,147000,,,,,
23-1235-A0001,City of Buffalo Trail Maintenance,11500,,,,,,
23-0674-A0001,Pasteurella multocida associated with sinus tumors in BHS,7488.24,,,,,,
23-1910-A0001,Evaluation the influence of wind energy on pronghorn movement and distribution,20000,20000,20000,20000,0,0,20000
25-0009-A0001-0,Albany County Community Juvenile Service Board Planning Grant,25000,25000,25000,25000,0,0,128500
25-0009-A0001-1,Albany County Community Juvenile Service Board Planning Grant,64250,64250,64250,64250,0,0,128500
25-0009-A0001-2,Albany County Community Juvenile Service Board Planning Grant,64250,64250,64250,64250,0,0,128500
24-0215-A0001,Manufacturing-Works (The Wyoming Manufacturing Extension Partnership) at the University of Wyoming - Year 2,499999.56,,,,,,
24-0259-A0001,"CAREER: Methods for Targeted, High-Throughput Single-Entity Analyses",600000,,,,,,
23-1403-A0001-0,McIntire-Stennis Capacity FY23,51316,,,,,,
23-1403-A0001-1,McIntire-Stennis Capacity FY23,256424,256424,256424,256424,0,0,512848
23-1403-A0001-2,McIntire-Stennis Capacity FY23,256424,256424,256424,256424,0,0,512848
23-1403-A0001-3,McIntire-Stennis Capacity FY23,256424,256424,256424,256424,0,0,512848
23-1403-A0001-4,McIntire-Stennis Capacity FY23,256424,256424,256424,256424,0,0,512848
23-1403-A0001-5,McIntire-Stennis Capacity FY23,256424,256424,256424,256424,0,0,512848
23-1403-A0001-6,McIntire-Stennis Capacity FY23,255823,255823,255823,255823,0,0,511646
23-0342-A0001,Quantification of Redox Feature Expression in Seasonally Saturated Soils,99999,,,,,,
23-0448-A0001,California Black Bear Molecular Mark-Recapture Genetic Analyses FY2020,345142.67,,,,,,
23-1883-A0001-0,Water Resources Data System,636190,636190,636190,636190,0,0,636190
23-1883-A0001-1,Water Resources Data System,636190,636190,636190,636190,0,0,636190
23-1251-A0001-0,"University Centers for Excellence in Developmental Disabilities Education, Research and Service, FY23",577735,,,,,,
23-1251-A0001-1,"University Centers for Excellence in Developmental Disabilities Education, Research and Service, FY23",577735,,,,,,
23-1119-A0001-0,Assessment of effects of the Converse County Oil and Gas Project on nesting raptors: pilot study,21027,,,,,,
23-1119-A0001-1,Assessment of effects of the Converse County Oil and Gas Project on nesting raptors: pilot study,21027.26,21027.26,21027.26,21027.26,0,0,21027.26
23-1091-A0002,Graduate Research Fellowship Program (GRFP) 2021-2026,37000,37000,37000,37000,0,0,37000
23-1085-A0001,University of Wyoming Extension of Community Health Outcomes (ECHO) Network for health care providers to improve the implementation of the Bright Futures Guidelines set by the American Academy of Pediatrics and adopted by Wyoming Medicaid,13000,,,,,,
23-0015-A0001,Sustaining Wyoming's Advancing Reach in Mathematics and Science (SWARMS),1186038.36,,,,,,
23-1445-A0001,Assessing chronic wasting disease diagnostics and identifying areas of high contagion,181522,,,,,,
23-0245-A0001-0,Comprehensive Field Load Test and Geotechnical Investigation Program for Development of LRFD Recommendations of Driven Piles on Intermediate GeoMaterials,765000,,,,,,
23-0245-A0001-1,Comprehensive Field Load Test and Geotechnical Investigation Program for Development of LRFD Recommendations of Driven Piles on Intermediate GeoMaterials,765000,765000,665642.49,665642.49,99357.51,99357.51,765000
23-0331-A0001,Opening the Sagebrush Establishment Window: Reducing Grass Competition for Sagebrush Seedlings,24712.57,,,,,,
24-0298-A0001,Gamification of Construction Management Courses with Engineering Background.,4000,,,,,,
23-0552-A0001,Does a Reasoning Requirement Reduce Racial and Ethnic Biases in Jury Decision Making?,764.84,,,,,,
23-1486-A0001,Warren Mammoth Archaeological Project,23074,,,,,,
23-1326-A0001,"FY23 5311 Operating, Administration, and Maintenance Grant Request from WYDOT/FTA",1931185,,,,,,
23-0863-A0001,Cardiac Arrest Survival Study,175000,,,,,,
23-0948-A0002,Cooperative Research Units Program FY 2021 - Full life cycle effects of energy development on sagebrush songbirds (WLCI).,31500,31500,26808.51,26808.51,4691.49,4691.49,31500
23-1562-A0001,Scalable and Efficient Membrane Distillation and Adsorption Process for High-Purity Water and Lithium Recovery from Produced Water in New Mexico,148262,350001,105859,,,42403,525000
23-1073-A0001,Multi-scale Investigations of Two- and Three-Phase Flow in Porous Media of Varying Wettability States using Experimental and Digital Rock Technologies,4028660,,,,,,
23-1172-A0001,Wyoming IDeA Networks for Biomedical Research Excellence Phase 4 (Year 3),4165480,,,,,,
24-0951-A0002,UCRC - Little Snake Free River Investigation,92873.05,92873.05,64272.01,64272.01,28601.04,28601.04,92873.05
24-0382-A0001,Collaborative Research:  How did Terrestrial Ecosystems Rebuild Following the Cretaceous/Paleogene Mass Extinction?,167785,167785,122723,122723,45062,45062,167785
23-0113-A0001,Kin Recognition and outer Membrane Exchange Regulate Social Interactions in Myxobacteria,1278702.63,,,,,,
24-0124-A0001-0,"Novel methods for characterization of beef steer temperament and association with feed efficiency, metabolic profile, stress, health, and methane flux",300000,300000,240555,240555,59445,59445,300000
24-0124-A0001-1,"Novel methods for characterization of beef steer temperament and association with feed efficiency, metabolic profile, stress, health, and methane flux",300000,300000,240555,240555,59445,59445,300000
23-0632-A0001-0,Drinking Water Contamination from Extreme Weather,799952,,,,,,
23-0632-A0001-1,Drinking Water Contamination from Extreme Weather,799952,,,,,,
23-0632-A0001-2,Drinking Water Contamination from Extreme Weather,799952,,,,,,
23-0632-A0001-3,Drinking Water Contamination from Extreme Weather,799952,799952,685646,685646,114306,114306,799952
23-0303-A0001,Determining Statewide CWD Genetic Susceptibility for Wyoming Mule Deer: Prion Protein Gene Analysis,5000,,,,,,
23-1327-A0001,University of Wyoming Department of Theatre and Dance: Multiple Projects,9340,,,,,,
23-1515-A0001,SuiteWater Stewardship,9423,9423,7853,7853,1571,1571,9423
23-1050-A0001,NCTC Data Wrangling course taught by Shannon Albeke 2021-2022,14500,,,,,,
23-1243-A0001,Invertebrate Taxonomy and Ranking of Wyoming & Montana Natural Heritage Programs,30000,,,,,,
23-0150-A0001,Growing Hops for Wet Hop Brewing at High Altitude Climate,24447.97,,,,,,
23-0170-A0001,Annual Synar Surveys and Coverage Study FY 2019,216774,,,,,,
24-0285-A0001-0,Agricultural Water User Perspectives on Water Conservation in the Colorado River Basin,49500,,,,,,
24-0285-A0001-1,Agricultural Water User Perspectives on Water Conservation in the Colorado River Basin,49500,,,,,,
23-0175-A0001,Rare Plant Species Account Viewer,12000,,,,,,
25-0119-A0001-0,TDA-ITC Large-Scale Pilot Testing,0,0,0,0,0,0,52001
25-0119-A0001-1,TDA-ITC Large-Scale Pilot Testing,0,0,0,0,0,0,52001
25-0119-A0001-2,TDA-ITC Large-Scale Pilot Testing,0,0,0,0,0,0,52500
23-0093-A0001,Investigation of Magnetic Skyrmions and Magnetic Polarons in Oxygen Deficient Eu0(1-x),595360,,,,,,
24-0820-A0001,Red Desert Mule Deer Migration - MDF,20000,20000,20000,20000,0,0,20000
23-0597-A0001,Meeteetse Moose Ecology Project,25000,,,,,,
24-0740-A0001,Ecology of Male Mule Deer-WGBGLC 2024,5000,10000,5000,10000,0,0,10000
23-0946-A0001-0,RWO208: Mapping big game migration corridors in Wyoming and other western states: USGS implementation of Secretarial Order 3362,1261561.51,,,,,,
23-0946-A0001-1,RWO208: Mapping big game migration corridors in Wyoming and other western states: USGS implementation of Secretarial Order 3362,2039184.51,2039184.51,1791407.92,1791407.92,247776.59,247776.59,2039184.51
23-0946-A0001-2,RWO208: Mapping big game migration corridors in Wyoming and other western states: USGS implementation of Secretarial Order 3362,2314184.51,2314184.51,2033799.22,2033799.22,280385.29,280385.29,2314184.51
23-0946-A0001-3,RWO208: Mapping big game migration corridors in Wyoming and other western states: USGS implementation of Secretarial Order 3362,2671378.37,2671378.37,2347198.83,2347198.83,324179.54,324179.54,2671378.37
24-0492-A0001-0,Youth in Herpetology Conservation,2887.85,4997.85,2887.85,4997.85,0,0,2887.85
24-0492-A0001-1,Youth in Herpetology Conservation,2110,4997.85,2110,4997.85,0,0,2110
24-0492-A0001-2,Youth in Herpetology Conservation,4997.85,4997.85,4997.85,4997.85,0,0,4997.85
23-0761-A0001,"Recovery of lost aircrew from a World War II B24J aircraft in Istria, Croatia",155409.36,,,,,,
23-1023-A0001,Central Oregon assessment of Factors Contributing to Binge Drinking Among 18-34 Year Olds,149920,,,,,,
24-0354-A0001-0,Develop Grid Synchronization Simulator for use in ICS Cyber Escape Rooms,27562,27562,19074,19074,8488,8488,27562
24-0354-A0001-1,Develop Grid Synchronization Simulator for use in ICS Cyber Escape Rooms,27562,27562,19074,19074,8488,8488,27562
23-1541-A0001-0,University of Wisconsin Sub-Award (Ricke),2463,2463,2463,2463,0,0,2463
23-1541-A0001-1,University of Wisconsin Sub-Award (Ricke),2463,2463,2463,2463,0,0,2463
23-1541-A0001-2,University of Wisconsin Sub-Award (Ricke),2463,2463,2463,2463,0,0,2463
24-0008-A0001,Evaluation of the Arkansas Opioid Recovery Partnership,398087,398087,398087,398087,0,0,398087
25-0056-A0001,Homeless Services Gap Analysis WYCoC,25000,25000,20833.3,20833.3,4166.7,4166.7,25000
23-1278-A0002,Distribution and reproduction of Bear River mussels,112860,112860,102600,102600,10260,10260,112860
23-0773-A0001,"Understanding and mitigating barriers to vaccine access, Wyoming",57663.61,,,,,,
23-0709-A0001,"Moose demography, browsing interactions: Bighorns",10000,,,,,,
23-1299-A0001-0,Forage genotype/line testing for growth and yield potential,3000,,,,,,
23-1299-A0001-1,Forage genotype/line testing for growth and yield potential,6000,6000,5714.28,5714.28,285.72,285.72,6000
23-0547-A0001,Assessing Impacts of Patch-Burn Grazing Management on Sustainability of Multiple Agroecosystem Services,66132.97,,,,,,
